
Test Phase Average Duration: 0:05:39 (HH:MM:SS)

Class report: 
              precision    recall  f1-score      support
zeus-newgoz        0         0     0            0       0       0   
legit            129         0    29          287      28      31   

              pykspa_noise  qadars  qakbot  ramdo  ramnit  ranbyus_v1  \
alureon                  6       0       0      0     177           0   
banjori                  0       0       0      0       0           0   
bedep                    0       2      21      0     692           6   
ccleaner                 0       0       0      0       0           0   
chinad                   0      47      45      2       0           7   
corebot                  0       0       4      0       0           0   
cryptolocker            47       0     189     23     261         706   
dircrypt                 1       0     134      0     907           6   
dyre                     0       0       0      0       0           0   
fobber_v1                0       0      16      0       0           1   
fobber_v2                4       0       0      0     186           0   
gozi_gpl                 0       0      15      0       0           2   
gozi_luther              0       0       0      0       8           0   
gozi_nasa                0       0       1      0      13           0   
gozi_rfc4343             0       0       2      0      16           0   
kraken_v1                3       0       6      0      77          10   
kraken_v2               23       0      16     11     220          36   
locky                   51       0     212     13       0         639   
matsnu                   0       0       0      0       0           0   
murofet_v1               0       0     112      0       0           0   
murofet_v2               0       0     313      0       0           0   
murofet_v3               0       0       0      0       0           0   
necurs                  37       0     337      2      22         651   
nymaim                   4       0       2      1       0           4   
padcrypt                 0       0       3      0      11          15   
pizd                     0       0       0      0       0           0   
proslikefan            323       0       9      0       5          19   
pushdo                   0       0       2      0     143           0   
pykspa                 851       1      97     49      47          53   
pykspa_noise           894       0      90     42      83          39   
qadars                  13    3961       9     10      11          10   
qakbot                 129       0    1789     20     123         122   
ramdo                    1       0       1   4714       0           0   
ramnit                   8       0      37      0    1080           9   
ranbyus_v1               2       0      56     18     191        2727   
ranbyus_v2               0       0     165      1     115         250   
rovnix                   0       0       0      0       0           0   
shiotob                 48     782      28      0      42          20   
simda                   55       0       0      0       2           1   
sisron                   0      63     274      0       5           0   
suppobox_1               0       0       0      0       0           0   
suppobox_2              20       0       0      0       0           0   
suppobox_3               0       0       0      0       0           0   
symmi                    0       0       0      0       0           0   
tempedreve             401       0      26      0      43           1   
tinba                   77       0      43      0     793         596   
vawtrak_v1               0       0       2      0       0           0   
vawtrak_v2               0       0       0      0      42           0   
vawtrak_v3               1       0       0      0       9           0   
zeus-newgoz              0       0      33      0       0           0   
legit                   37      29       1      2      14           0   

              ranbyus_v2  rovnix  shiotob  simda  sisron  suppobox_1  \
alureon                0       0        1     10       0           0   
banjori                0       0        0      0       0           0   
bedep                  9       0       69      0       1           0   
ccleaner               0       0        0      0       0           0   
chinad                12       0      344      0       0           0   
corebot                0       0        5      0       0           0   
cryptolocker         147       0        1      6       0           2   
dircrypt              15       0        5      7       0           0   
dyre                   0       0        0      0       0           0   
fobber_v1            112       0        0      0       0           0   
fobber_v2              0       0        1     11       0           0   
gozi_gpl               1     334        0      3       0           0   
gozi_luther            0       3        0      1       0           0   
gozi_nasa              0      31        0      0       0           0   
gozi_rfc4343           0      25        0      0       0           0   
kraken_v1              0       0        0      3       0           0   
kraken_v2              0       0        0     15       0           0   
locky                475       1        0     36       0           0   
matsnu                 0       0        0      0       0           0   
murofet_v1             9       1        0      0       0           0   
murofet_v2             0       0        0      0       0           0   
murofet_v3             0       0        0      0       0           0   
necurs               887       3        0     26       0           1   
nymaim                 4     209        0     32       0          65   
padcrypt              17       4        0      0       0           2   
pizd                   0       0        0      0       0        1138   
proslikefan            0       0        0    193       0           0   
pushdo                 0       0        0      3       0           0   
pykspa                 0       0        1    232       1           0   
pykspa_noise           0       0        0    172       5           3   
qadars                 0       0      507      0       0           0   
qakbot                63       4        1     11       0           0   
ramdo                  0       3        0      0       0           0   
ramnit                12       0        1     12       1           0   
ranbyus_v1            46       1        0      1       1           2   
ranbyus_v2          2928       3        0      0       0           0   
rovnix                 0    4009        0      0       0           0   
shiotob                4       0     2914      0       0           1   
simda                  0       0        0   3124       0           0   
sisron                 0       0       48      0    4039           0   
suppobox_1             0       0        0      0       0        2979   
suppobox_2             0       0        0      0       0          67   
suppobox_3             0      89        0      0       0           2   
symmi                  0       0        0      0       0           0   
tempedreve             0       0        1     64       2           2   
tinba                  0       0        1      3       0           5   
vawtrak_v1             0       0        0      0       0           0   
vawtrak_v2             0       0        0      0       0           0   
vawtrak_v3             0       0        0      0       0           0   
zeus-newgoz            0       0        3      0       0           0   
legit                  0       5       25    152       0          22   

              suppobox_2  suppobox_3  symmi  tempedreve  tinba  vawtrak_v1  \
alureon                0           0      0          71     10           0   
banjori                0           0      0           0      0           0   
bedep                  0           0      0           2     96           0   
ccleaner               0           0      0           0      0           0   
chinad                 0           0      0           0      1           0   
corebot                0           0     39           0      0           0   
cryptolocker           0           0      0          77    445           0   
dircrypt               0           0      0          14    104           0   
dyre                   0           0      0           0      0           0   
fobber_v1              0           7      0           0      1           0   
fobber_v2              0           0      0          44     11           0   
gozi_gpl               0           0      0           0     10           0   
gozi_luther            0           0      0           0      2           0   
gozi_nasa              0           0      0           0      4           0   
gozi_rfc4343           0           0      0           0      3           0   
kraken_v1              0           0      1           2     29           0   
kraken_v2              0           0      0          43    187           0   
locky                  0           0      0         155    517           0   
matsnu                 0           0      0           0      0           0   
murofet_v1             0           0      0           0      0           0   
murofet_v2             0           0      0           0     23           0   
murofet_v3             0           0      0           0      0           0   
necurs                 0           0      0          66    444           2   
nymaim                10          14      0           3     29          17   
padcrypt               0           2      2           0      1           0   
pizd                  93          26      0           1      0           0   
proslikefan           37           0      0         257    137           0   
pushdo                 0           0      0           5    160           0   
pykspa                61           0      0         902    243           0   
pykspa_noise          60           1      0         886    213           0   
qadars                 1           0      0          22     46          26   
qakbot                 2           0      0         342    167           0   
ramdo                  0           0      0           0      0           0   
ramnit                 0           0      0          23    155           0   
ranbyus_v1             0           0      0           3    434           0   
ranbyus_v2             0           3      0           0      1           0   
rovnix                 0          24      0           0      0           0   
shiotob                3           0      1          76     31           0   
simda                  0           0      0           6     38           1   
sisron                 0           0      0          65     63           0   
suppobox_1            45           3      0           0      0           0   
suppobox_2          4212           6      0          14      0           0   
suppobox_3             0        4627      0           0      0           0   
symmi                  0           2   4745           0      0           0   
tempedreve            26           0      0        2090    117           0   
tinba                  0           0      7         168   1445           0   
vawtrak_v1             0           0      0           0     78        4572   
vawtrak_v2             0           0      0           0      4           0   
vawtrak_v3             0           0      0           0      2           0   
zeus-newgoz            0           0      0           0      0           0   
legit                180           1      1           2      4           0   

              vawtrak_v2  vawtrak_v3  zeus-newgoz  legit  
alureon               63          64            0     36  
banjori                0           0            0      0  
bedep                  1           0            0      1  
ccleaner               0           0            0      0  
chinad                 0           0            0      1  
corebot                0           0            0      0  
cryptolocker           2           0            0      1  
dircrypt              21          31            0     27  
dyre                   0           0            3      0  
fobber_v1              0           0            0      0  
fobber_v2             64          66            0     38  
gozi_gpl               0           0            0      3  
gozi_luther            8          19            0     28  
gozi_nasa              1          10            0     67  
gozi_rfc4343           3           8            0     67  
kraken_v1              5          14            0      8  
kraken_v2             23          22            0     42  
locky                  1           0            0      0  
matsnu                 2           3            0     92  
murofet_v1             0           0            0      0  
murofet_v2             0           0            0      0  
murofet_v3             0           0            0      0  
necurs                 0           1            0      7  
nymaim                 1           9            0    139  
padcrypt               0           0            0      0  
pizd                   0           0            0      0  
proslikefan           21          11            0     66  
pushdo                33         150            0     78  
pykspa                21          40            0     61  
pykspa_noise          33          47            0     84  
qadars                 0           3            0      1  
qakbot                 0           4            0      6  
ramdo                  0           0            0      0  
ramnit                43          40            0     56  
ranbyus_v1             0           0            0      0  
ranbyus_v2             0           0            0      0  
rovnix                 0           0            0      1  
shiotob                3           3            0      5  
simda                  9          15            0    160  
sisron                 0           0            0      0  
suppobox_1             0           0            0      0  
suppobox_2             0           0            0     24  
suppobox_3             0           0            0      0  
symmi                  0           0            0      0  
tempedreve            10          15            0      9  
tinba                  6           6            0      3  
vawtrak_v1             0           0            0      0  
vawtrak_v2          3380         938            0    315  
vawtrak_v3           323        4086            0    274  
zeus-newgoz            0           0         4680      0  
legit                 55         250            0   3181  
Precision Recall F1_score 
              Macro    Micro
F1 Score   0.680078  0.68833
Precision  0.709344  0.68833
Recall     0.688330  0.68833

Overall accuracy = 0.6883302373581012

